quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
1,33,28,,,,1,,,
1,44,35,7,1,1,,,,
1,25,21,,,,1,,,
1,67,35,7,1,1,,,,
1,25,25,,,,1,,,
1,29,35,7,1,1,,,,
1,25,35,,,,1,,,
1,35,35,7,1,1,,,,
3,30,20,,1,,1,,,
3,22,20,,,,1,,,
3,44,64,,1,,1,,,
3,20,23,,,,1,,,
3,36,41,,1,,1,,,
3,34,24,,,,1,,,
3,29,57,,1,,1,,,
3,2,19,,,,1,,,
,,,,,,,,,
1,24,80,,1,,,,,
1,20,35,7,,1,,,,
1,17,16,,1,,1,,,
1,39,44,,,,1,,,
1,9,14,,1,,1,,,
1,45,34,,,,1,,,
1,23,26,,1,,1,,,
1,34,37,,,,1,,,
1,12,41,,1,,1,,,
3,23,41,,1,,1,,,
3,20,35,7,,1,,,,
3,55,57,,1,,1,,,
3,10,35,7,,1,,,,
3,25,76,,1,,,,,
3,24,25,,,,1,,,
3,39,55,,,,,,1,
,,,,,,,,,
1,25,39,,1,,1,,,
1,21,18,,,,,1,,
1,82,35,3,1,1,,,,
1,25,42,,,,1,,,
1,30,35,7,1,1,,,,
1,50,48,,,,1,,,
1,40,45,,1,,,,1,
1,39,43,,,,,,1,
1,31,35,,1,,1,,,
1,35,35,3,,1,,,,
3,25,64,,,,,,1,
3,30,47,,1,,1,,,
3,20,25,,,,1,,,
3,19,25,,1,,1,,,
3,33,61,,,,1,,,
,,,,,,,,,
1,35,55,,,,1,,,
1,10,28,,1,,1,,,
1,32,37,,,,1,,,
1,10,28,,1,,,,1,
1,25,56,,1,,1,,,
1,5,9,,,,,,1,
1,88,35,3,1,1,,,,
1,32,52,,,,1,,,
3,25,35,7,1,1,,,,
3,10,19,,,,1,,,
3,35,35,7,1,1,,,,
3,22,56,,,,1,,,
3,2,15,,1,,,1,,
3,25,35,7,1,1,,,,
,,,,,,,,,
1,25,25,,,,1,,,
1,48,47,,1,,1,,,
1,10,32,,,,1,,,
1,30,35,7,1,1,,,,
1,25,27,,,,1,,,
1,36,42,,1,,1,,,
1,7,28,,,,1,,,
3,25,21,,1,,1,,,
3,42,35,7,,1,,,,
3,25,49,,1,,1,,,
3,11,36,,,,1,,,
3,23,88,,1,,,,,
3,12,39,,,,1,,,
3,9,18,,1,,1,,,
,,,,,,,,,
1,25,9,,1,,1,,,
1,38,40,,,,,1,,
1,73,80,,1,,,,,
1,20,23,,,,,1,,
1,78,35,3,1,1,,,,
1,28,53,,,,1,,,
1,5,30,,1,,1,,,
1,24,34,,,,1,,,
3,25,91,,,,,,,
3,9,29,,1,,,,1,
3,46,48,,,,1,,,
3,4,15,,1,,1,,,
3,34,40,,,,1,,,
,,,,,,,,,
quarter,start,end,points,pos,kickoff,punt,fumble,int,downs
1,25,35,3,1,1,,,,
1,25,54,,,,1,,,
1,18,35,3,1,1,,,,
1,39,82,,,,,1,,
3,25,40,,,,,,1,
3,28,35,7,1,1,,,,
3,18,18,,,,1,,,
3,47,51,,1,,1,,,
3,11,29,,,,1,,,
3,33,35,3,1,1,,,,
,,,,,,,,,
1,25,35,7,,1,,,,
1,25,51,,1,,1,,,
1,3,4,,,,1,,,
1,60,78,,1,,,,,
1,22,35,3,,1,,,,
3,25,26,,1,,1,,,
3,45,52,,,,1,,,
3,5,11,,1,,,1,,
3,85,35,7,,1,,,,
3,25,23,,1,,1,,,
3,22,81,,,,,,,
3,19,35,7,1,1,,,,
3,25,35,3,,1,,,,
,,,,,,,,,
1,31,35,7,,1,,,,
